result_lag_1,result_lag_2,result_lag_3,result_lag_4,result_lag_5,multiplier_lag_1,multiplier_lag_2,multiplier_lag_3,multiplier_lag_4,multiplier_lag_5,multiplier_mean_5,multiplier_mean_10,multiplier_mean_20,multiplier_std_5,multiplier_std_10,multiplier_std_20,hour,minute,day_of_week,is_weekend,hour_sin,hour_cos,previous_streak,result_1_count_10,result_1_count_20,result_2_count_10,result_2_count_20,result_5_count_10,result_5_count_20,result_10_count_10,result_10_count_20,result_20_count_10,result_20_count_20,result_40_count_10,result_40_count_20,result_50_count_10,result_50_count_20,target
5.0,2.0,1.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0,2.2,2.1,2.2,1.6431676725154916,1.5951314818673927,2.190890230020663,1,51,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,10.0,3.0,7.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,5.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.4,1.8,2.2,1.5165750888103027,1.2292725943057263,2.190890230020663,1,52,3,0,0.25881904510252074,0.9659258262890683,1.0,5.0,10.0,4.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,2.0,5.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,2.4,1.9,2.25,1.5165750888103027,1.197218999737873,2.1734038305216794,1,53,3,0,0.25881904510252074,0.9659258262890683,2.0,4.0,9.0,5.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,2.6,2.0,1.85,1.3416407864998656,1.1547005383792601,1.1821033884786152,1,53,3,0,0.25881904510252074,0.9659258262890683,3.0,3.0,9.0,6.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,2.4,2.0,1.85,1.5165750888103027,1.1547005383792601,1.1821033884786152,1,54,3,0,0.25881904510252074,0.9659258262890683,1.0,3.0,9.0,6.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.4,2.3,2.05,1.5165750888103027,1.494434118097333,1.3562719801759966,1,54,3,0,0.25881904510252074,0.9659258262890683,1.0,3.0,8.0,5.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,5.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.4,2.4,2.05,1.5165750888103027,1.4298407059684881,1.3562719801759966,1,55,3,0,0.25881904510252074,0.9659258262890683,1.0,2.0,8.0,6.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,2.0,5.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.4,2.4,2.1,1.5165750888103027,1.4298407059684881,1.3337718577106978,1,56,3,0,0.25881904510252074,0.9659258262890683,2.0,2.0,7.0,6.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,5.0,1.0,2.2,2.4,2.05,1.6431676725154916,1.4298407059684881,1.3562719801759966,1,57,3,0,0.25881904510252074,0.9659258262890683,1.0,2.0,8.0,6.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5.0,1.0,2.0,2.0,5.0,5.0,1.0,2.0,2.0,5.0,3.0,2.7,2.25,1.8708286933869647,1.6363916944844832,1.482352326895541,1,57,3,0,0.25881904510252074,0.9659258262890683,1.0,2.0,7.0,5.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,5.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,2.2,2.3,2.2,1.6431676725154916,1.494434118097333,1.5078740698501014,1,58,3,0,0.25881904510252074,0.9659258262890683,1.0,3.0,8.0,5.0,8.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.2,2.3,2.05,1.6431676725154916,1.494434118097333,1.3562719801759966,1,59,3,0,0.25881904510252074,0.9659258262890683,1.0,3.0,8.0,5.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,1.0,2.2,2.3,2.1,1.6431676725154916,1.494434118097333,1.3337718577106976,1,59,3,0,0.25881904510252074,0.9659258262890683,2.0,3.0,7.0,5.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,5.0,2.2,2.2,2.1,1.6431676725154916,1.549193338482973,1.3337718577106976,2,0,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,7.0,4.0,10.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
5.0,1.0,2.0,2.0,1.0,5.0,1.0,2.0,2.0,1.0,2.2,2.6,2.3,1.6431676725154916,1.7126976771553564,1.4545753585442742,2,1,3,0,0.49999999999999994,0.8660254037844387,1.0,3.0,6.0,4.0,10.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
50.0,5.0,1.0,2.0,2.0,3.0,5.0,1.0,2.0,2.0,2.6,2.4,2.35,1.5165750888103027,1.5055453054181684,1.4608937423083797,2,2,3,0,0.49999999999999994,0.8660254037844387,1.0,3.0,6.0,4.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1.0,50.0,5.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,2.4,2.3,2.35,1.6733200530681445,1.5670212364724274,1.4608937423083797,2,3,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,6.0,3.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10
10.0,1.0,50.0,5.0,1.0,10.0,1.0,3.0,5.0,1.0,4.0,3.1,2.75,3.7416573867739387,2.8848262031225107,2.2448772091610087,2,3,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,6.0,2.0,8.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1.0,10.0,1.0,50.0,5.0,1.0,10.0,1.0,3.0,5.0,4.0,3.1,2.75,3.7416573867739387,2.8848262031225107,2.2448772091610087,2,4,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,6.0,2.0,8.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1.0,1.0,10.0,1.0,50.0,1.0,1.0,10.0,1.0,3.0,3.2,2.7,2.7,3.8987177379235827,2.8693785622209824,2.2734161635370618,2,5,3,0,0.49999999999999994,0.8660254037844387,2.0,5.0,7.0,2.0,7.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,10.0,1.0,2.8,2.7,2.5,4.024922359499619,2.8693785622209824,2.236067977499788,2,6,3,0,0.49999999999999994,0.8660254037844387,3.0,5.0,8.0,2.0,7.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1
1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,10.0,2.8,2.6,2.45,4.024922359499619,2.9135697844549577,2.2589005243585567,2,6,3,0,0.49999999999999994,0.8660254037844387,4.0,6.0,9.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5
5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.8,2.9,2.6,1.788854381999826,2.998147576235851,2.3260538075868897,2,7,3,0,0.49999999999999994,0.8660254037844387,1.0,6.0,9.0,0.0,5.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10
10.0,5.0,1.0,1.0,1.0,10.0,5.0,1.0,1.0,1.0,3.6,3.8,3.0,3.9749213828703556,3.645392830531287,2.8469743865891615,2,8,3,0,0.49999999999999994,0.8660254037844387,1.0,5.0,9.0,0.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,5
5.0,10.0,5.0,1.0,1.0,5.0,10.0,5.0,1.0,1.0,4.4,3.8,3.2,3.7148351242013393,3.645392830531287,2.839570019340399,2,10,3,0,0.49999999999999994,0.8660254037844387,1.0,5.0,8.0,0.0,4.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,20
20.0,5.0,10.0,5.0,1.0,15.0,5.0,10.0,5.0,1.0,7.2,5.0,3.7,5.403702434442517,5.055250296034369,3.867543760171577,2,11,3,0,0.49999999999999994,0.8660254037844387,1.0,5.0,8.0,0.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2
2.0,20.0,5.0,10.0,5.0,2.0,15.0,5.0,10.0,5.0,7.4,5.1,3.7,5.128352561983232,4.9766119666563,3.867543760171577,2,12,3,0,0.49999999999999994,0.8660254037844387,1.0,4.0,8.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2
2.0,2.0,20.0,5.0,10.0,2.0,2.0,15.0,5.0,10.0,6.8,4.3,3.7,5.630275304103697,4.738729318662924,3.867543760171577,2,15,3,0,0.49999999999999994,0.8660254037844387,2.0,4.0,8.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,20
20.0,2.0,2.0,20.0,5.0,19.0,2.0,2.0,15.0,5.0,8.6,6.1,4.6,7.893034904268445,6.454111523328023,5.103146604121608,2,18,3,0,0.49999999999999994,0.8660254037844387,1.0,3.0,7.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,40
40.0,20.0,2.0,2.0,20.0,16.0,19.0,2.0,2.0,15.0,10.8,7.6,5.15,8.167006795638166,6.866990283636316,5.70572196640309,2,19,3,0,0.49999999999999994,0.8660254037844387,1.0,2.0,7.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,50
50.0,40.0,20.0,2.0,2.0,2.0,16.0,19.0,2.0,2.0,8.2,7.7,5.2,8.555699854482974,6.766748767974831,5.671721171975187,2,20,3,0,0.49999999999999994,0.8660254037844387,1.0,1.0,6.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1
1.0,50.0,40.0,20.0,2.0,1.0,2.0,16.0,19.0,2.0,8.0,7.7,5.15,8.74642784226795,6.766748767974831,5.70572196640309,2,21,3,0,0.49999999999999994,0.8660254037844387,1.0,1.0,7.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2
2.0,1.0,50.0,40.0,20.0,2.0,1.0,2.0,16.0,19.0,8.0,7.4,5.15,8.74642784226795,6.963396361610396,5.70572196640309,2,23,3,0,0.49999999999999994,0.8660254037844387,1.0,1.0,7.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,20
